MAC Address,Timestamp,S1 Signal Strength,Distance to S1,S2 Signal Strength,Distance to S2,Year,Month,Day,Day of the Week,Hour,Minute,X,Y,Device,Area
02:0d:09:ff:ea:b8,28075033,-74.0,3.595371659361399,-74.66666666666667,3.8788661628669012,2023,05,19,Friday,14,13,-1.0,-1.0,PC,Zona Estudo
02:0e:6d:57:e7:31,28074038,-79.5,6.962190858805088,-81.5,8.53972892192069,2023,05,18,Thursday,21,38,-1.0,-1.0,PC,Zona Estudo
02:0e:94:45:19:f6,28075168,-91.0,25.118864315095795,-94.5,37.64602798935364,2023,05,19,Friday,16,28,-1.0,-1.0,PC,Zona Estudo
02:10:49:23:18:06,28075145,-88.0,17.78279410038923,-92.5,29.903302957164165,2023,05,19,Friday,16,05,-1.0,-1.0,PC,Zona Estudo
02:15:cd:8b:05:6d,28076328,-90.0,22.3872113856834,-90.0,22.3872113856834,2023,05,20,Saturday,11,48,4.000000000000017,22.026966055888686,PC,Literatura Linguas e Arte
02:1d:1c:f0:cf:2e,28075067,-85.0,12.589254117941676,-81.0,7.943282347242816,2023,05,19,Friday,14,47,9.962099049880758,7.6971359456928115,PC,Historia Biografias e Literatura
02:25:e0:ec:88:41,28075221,-90.0,23.735854263147466,-94.0,35.48133892335755,2023,05,19,Friday,17,21,-1.0,-1.0,PC,Zona Estudo
02:2e:27:8a:86:2a,28075145,-73.0,3.1622776601683795,-88.0,17.78279410038923,2023,05,19,Friday,16,05,-1.0,-1.0,PC,Zona Estudo
02:35:39:89:4f:08,28074047,-85.0,12.924465962305566,-90.0,22.3872113856834,2023,05,18,Thursday,21,47,-1.0,-1.0,PC,Zona Estudo
02:3e:4c:80:a9:ee,28074043,-81.5,8.764878993910784,-83.0,10.066346962178546,2023,05,18,Thursday,21,43,2.468235163433576,8.410167593805046,PC,Zona Estudo
02:46:c1:7a:20:94,28076232,-75.0,4.087074998220551,-93.0,31.83258411800104,2023,05,20,Saturday,10,12,-1.0,-1.0,PC,Zona Estudo
02:49:1e:6f:b9:36,28075189,-77.0,5.011872336272722,-84.0,11.220184543019636,2023,05,19,Friday,16,49,-2.298354804020056,4.453810672888299,PC,Zona Estudo
02:49:88:f6:3d:01,28076284,-76.0,4.466835921509632,-85.0,12.589254117941676,2023,05,20,Saturday,11,04,-1.0,-1.0,PC,Zona Estudo
02:4d:1a:c2:22:87,28075271,-82.0,8.912509381337454,-90.0,22.3872113856834,2023,05,19,Friday,18,11,-1.0,-1.0,PC,Zona Estudo
02:57:75:ff:63:cd,28075437,-83.0,10.0,-94.0,35.48133892335755,2023,05,19,Friday,20,57,-1.0,-1.0,PC,Zona Estudo
02:5f:a6:7d:1d:ed,28075121,-73.2,3.3333394038767024,-74.33333333333333,3.7592727723144495,2023,05,19,Friday,15,41,-1.0,-1.0,PC,Zona Estudo
02:61:4e:e0:22:02,28075162,-82.0,8.971641173621407,-70.66666666666667,2.468551064378905,2023,05,19,Friday,16,22,8.649787561923292,2.381495429728138,PC,Zona Estudo
02:65:f8:0a:e4:df,28075142,-72.0,2.8183829312644537,-73.0,3.1622776601683795,2023,05,19,Friday,16,02,-1.0,-1.0,PC,Zona Estudo
02:68:e2:53:1d:cb,28075183,-77.0,5.011872336272722,-80.5,7.511370095542097,2023,05,19,Friday,16,43,-1.0,-1.0,PC,Zona Estudo
02:69:64:9e:f6:5a,28075145,-83.0,10.0,-93.5,33.552057762520676,2023,05,19,Friday,16,05,-1.0,-1.0,PC,Zona Estudo
02:6b:58:90:78:c1,28075140,-81.0,7.943282347242816,-94.0,35.71674682851676,2023,05,19,Friday,16,00,-1.0,-1.0,PC,Zona Estudo
